state,admin1_pcode,township,admin3_pcode,total_population_2021proj,conflict_ranking,flood_ranking,vul_ranking,food_security_pin_2022,food_security_target_2022,beneficiaries_2022,"crop, vegetable and seed kits",food distribution,multi-purpose cash transfer,food_cash for work_assets,IGA and small grants,vocational training,livestock kits,FFS and farmer training
Magway,MMR009,Kamma,MMR009015,74759.92110993135,202,5,131,15700,1570.0416577967449,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Aunglan,MMR009016,233861.00356832598,205,6,138,49111,4910.918926403586,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Sinbaungwe,MMR009017,117162.15364424167,277,7,87,24604,2459.59484021137,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Kyaukse,MMR010013,274709.3466889205,108,10,246,32416,3242.429766033835,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Sintgaing,MMR010014,158619.83773306131,138,4,268,18717,1872.2859584249468,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Myittha,MMR010015,208374.00606965614,235,10,164,24588,2459.1867425586734,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Tada-U,MMR010016,147647.73934006476,179,5,163,17422,1741.7567097702458,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Aungmyaythazan,MMR010001,283094.198504246,91,9,310,33405,3341.4885290733523,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Chanayethazan,MMR010002,210020.72620513552,9,10,325,24782,2477.755454915075,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Mahaaungmyay,MMR010003,256821.2367566823,36,10,311,30305,3029.509485691361,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Chanmyathazi,MMR010004,302269.0082577384,54,10,303,35668,3567.2257168409606,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Pyigyitagon,MMR010005,253183.75340437837,86,8,301,29876,2988.4317722113033,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Amarapura,MMR010006,253098.54149568605,124,7,294,29866,2987.437274355215,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Patheingyi,MMR010007,280906.3827485704,159,8,286,33147,3315.3047115730856,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Meiktila,MMR010028,329837.1910174255,107,10,274,38921,3891.921147591971,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Mahlaing,MMR010029,148510.50991557463,166,10,134,17524,1751.5760855914916,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Thazi,MMR010030,215884.3706720267,240,9,209,25474,2546.564500546806,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Wundwin,MMR010031,244728.60176438157,151,10,175,28878,2888.202513380018,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Myingyan,MMR010017,294083.33927898115,26,5,231,34702,3469.816606201124,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Taungtha,MMR010018,230755.97903655615,115,5,202,27229,2723.079449686694,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Natogyi,MMR010019,188614.4295927627,102,10,241,22257,2226.349785760861,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Ngazun,MMR010021,132326.63815718322,207,7,155,15615,1560.5458019399339,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Kyaukpadaung,MMR010020,278971.0072723958,116,10,147,32919,3292.1421203210016,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Nyaung-U,MMR010022,255579.27318749158,129,4,156,30158,3016.1645853686555,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Pyinoolwin,MMR010008,272154.0545770091,148,9,280,32114,3210.5822103578134,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Madaya,MMR010009,274809.470681634,52,7,172,32428,3243.2482649609665,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Singu,MMR010010,167851.48289101702,143,4,182,19806,1981.3525646218368,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Mogoke,MMR010011,178038.56657518548,35,9,272,21009,2101.1449244088303,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Thabeikkyin,MMR010012,174366.9984594045,176,3,124,20575,2058.469525275091,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Yamethin,MMR010023,274905.3340789128,309,9,167,32439,3244.117062092947,0,NA,NA,NA,NA,NA,NA,NA,NA
Mandalay,MMR010,Pyawbwe,MMR010024,277250.79186566925,301,10,178,32716,3272.4407153383586,0,NA,NA,NA,NA,NA,NA,NA,NA
Mon,MMR011,Mawlamyine,MMR011001,278680.7196406106,66,4,291,44000.17344512815,0,2691,2691,0,0,0,0,0,0,0
Mon,MMR011,Kyaikmaraw,MMR011002,188565.08118107164,230,5,113,24000.13167079307,0,2570,2570,0,0,0,0,0,0,0
Mon,MMR011,Chaungzon,MMR011003,117607.3699214522,253,6,223,12000.006948041786,0,7181,7181,0,0,0,0,0,0,0
Mon,MMR011,Thanbyuzayat,MMR011004,164226.21257492076,206,7,101,23000.148475104626,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Mon,MMR011,Mudon,MMR011005,183679.78085508436,196,7,260,27000.299476739117,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Mon,MMR011,Ye,MMR011006,253869.98090638287,34,8,157,61437,10000,180,0,180,0,0,0,0,0,0
Mon,MMR011,Thaton,MMR011007,229296.140236455,63,1,211,55490,10000,0,NA,NA,NA,NA,NA,NA,NA,NA
Mon,MMR011,Paung,MMR011008,210376.07410109657,197,4,197,34003.99336600171,0,4254,4254,0,0,0,0,0,0,0
Mon,MMR011,Kyaikto,MMR011009,177704.36423321342,55,7,234,43004,10000,8284,0,0,8284,0,0,0,0,0
Mon,MMR011,Bilin,MMR011010,174375.27232961828,105,3,130,43029,5000,6031,0,622,5409,0,0,0,0,0
Nay Pyi Taw,MMR018,Za Bu Thi Ri,MMR018002,123719.90831721459,224,10,324,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nay Pyi Taw,MMR018,Det Khi Na Thi Ri,MMR018004,57490.06829779366,286,10,275,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nay Pyi Taw,MMR018,Pyinmana,MMR018006,210082.69677906152,131,10,290,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nay Pyi Taw,MMR018,Lewe,MMR018007,318535.16586296825,269,7,228,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nay Pyi Taw,MMR018,Zay Yar Thi Ri,MMR018001,124654.03232283259,78,10,296,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nay Pyi Taw,MMR018,Tatkon,MMR018003,243155.61481010212,219,9,271,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nay Pyi Taw,MMR018,Poke Ba Thi Ri,MMR018005,130476.06659285931,239,10,288,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nay Pyi Taw,MMR018,Oke Ta Ra Thi Ri,MMR018008,91418.70664093515,273,8,270,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rakhine,MMR012,Kyaukpyu,MMR012011,171175.73756895756,265,7,56,47000.071429559386,0,1051,0,3140,0,0,0,0,0,0
Rakhine,MMR012,Munaung,MMR012012,58972.356344968524,309,7,90,14000.034103613378,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rakhine,MMR012,Ramree,MMR012013,101338.74477697774,306,7,34,25999.680633488286,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rakhine,MMR012,Ann,MMR012014,123930.35613315948,180,5,44,51962,1000,2004,0,3548,0,0,0,0,0,0
Rakhine,MMR012,Maungdaw,MMR012009,42221.457598032895,113,8,64,16889,16889.41697108115,24983,0,60405,0,315,0,162,0,0
Rakhine,MMR012,Buthidaung,MMR012010,57501.30838010879,141,9,29,27218,25001,132642,0,264932,0,1741,0,0,0,0
Rakhine,MMR012,Mrauk-U,MMR012003,196308.81462093847,103,7,21,92169,49999,10968,0,32872,0,0,0,0,0,0
Rakhine,MMR012,Kyauktaw,MMR012004,179196.62400930474,127,7,23,80736,40000,12754,0,38214,0,0,0,0,0,0
Rakhine,MMR012,Minbya,MMR012005,175167.54682476277,229,5,17,71821,50000,1626,0,4863,0,0,0,0,0,0
Rakhine,MMR012,Myebon,MMR012006,142024.9707551043,189,6,18,35999.769923067914,0,4581,0,13820,0,0,0,0,0,0
Rakhine,MMR012,Sittwe,MMR012001,153108.0386733227,3,6,171,128717,79999,121905,0,363015,0,50,0,134,0,0
Rakhine,MMR012,Ponnagyun,MMR012002,134322.93214950498,243,8,16,36999.61783574795,0,3742,0,4182,210,2214,0,0,50,0
Rakhine,MMR012,Pauktaw,MMR012007,151097.64096202247,93,7,9,50000.361944635726,0,24661,0,74055,0,0,0,0,0,0
Rakhine,MMR012,Rathedaung,MMR012008,115917.75145475383,117,9,7,58100,10001,4738,0,14233,0,0,0,0,0,0
Rakhine,MMR012,Thandwe,MMR012015,138185.3388749741,152,6,216,35999.91171640083,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rakhine,MMR012,Toungup,MMR012016,163917.80844747147,186,7,102,43999.91720430579,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rakhine,MMR012,Gwa,MMR012017,68340.06432105285,252,7,193,11999.988705708112,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Sagaing,MMR005,Hkamti,MMR005033,50052.78736458388,177,5,107,7653,764.6930044427131,0,NA,NA,NA,NA,NA,NA,NA,NA
Sagaing,MMR005,Homalin,MMR005034,271180.7044831875,142,5,78,41464,4145.647058499893,0,NA,NA,NA,NA,NA,NA,NA,NA
Sagaing,MMR005,Kale,MMR005027,366088.59478020685,1,8,162,56195,5620.500044487943,0,NA,NA,NA,NA,NA,NA,NA,NA
