admin3_pcode,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,total_idps,fatalities,score_i,index_battles,index_explosions_remote_violence,index_violence_against_civilians,index_fatalities,index_strategic_developments,index_protests_and_riots,env_battles,env_explosions_remote_violence,env_violence_against_civilians,env_fatalities,score_env,admin1,admin3,partners,beneficiaries,old_conflict_score
MMR013022,0,9,10,3,7,0,6,0.0698675138336986,0,0.11688311688311687,0.14583333333333334,0.011111111111111112,0.03225806451612904,0.2857142857142857,0,0.11688311688311688,0.14583333333333334,0.011111111111111112,0.06845689033189034,Yangon,Mingalartaungnyunt,NA,NA,0.09963237874519962
MMR013023,5,11,2,9,9,0,18,0.05000085252746077,0.03267973856209149,0.14285714285714285,0.1875,0.03333333333333333,0.09677419354838711,0.05714285714285715,0.032679738562091505,0.14285714285714285,0.1875,0.03333333333333333,0.09909255368814192,Yangon,Thanlyin,1,11963,0.07736806255515173
MMR013024,0,0,0,0,2,0,2,0.0035704038964633244,0,0,0.04166666666666667,0.0037037037037037095,0,0,0,0,0.041666666666666664,0.003703703703703704,0.011342592592592592,Yangon,Kyauktan,NA,NA,0.005709813685346884
MMR013025,0,1,0,7,2,0,4,0.010274314265281597,0,0.012987012987012991,0.04166666666666667,0.00740740740740741,0.07526881720430108,0,0,0.012987012987012988,0.041666666666666664,0.007407407407407408,0.015515271765271763,Yangon,Thongwa,NA,NA,0.016440913658009496
MMR013026,3,4,0,5,5,0,14,0.021677069494158003,0.019607843137254898,0.051948051948051945,0.10416666666666666,0.025925925925925925,0.05376344086021506,0,0.0196078431372549,0.05194805194805195,0.10416666666666667,0.025925925925925925,0.05041212191947487,Yangon,Kayan,NA,NA,0.03451423734876934
MMR013027,3,4,1,12,5,0,15,0.031789381207898856,0.019607843137254898,0.051948051948051945,0.10416666666666666,0.027777777777777776,0.12903225806451615,0.028571428571428574,0.0196078431372549,0.05194805194805195,0.10416666666666667,0.027777777777777776,0.05087508488243783,Yangon,Twantay,NA,NA,0.04946270681991501
MMR013028,4,1,0,5,5,0,18,0.02059975231545849,0.026143790849673196,0.012987012987012991,0.10416666666666666,0.03333333333333333,0.05376344086021506,0,0.026143790849673203,0.012987012987012988,0.10416666666666667,0.03333333333333333,0.04415770095917155,Yangon,Kawhmu,NA,NA,0.03266499693236233
MMR013029,1,2,2,2,5,0,16,0.025252186788749825,0.006535947712418299,0.025974025974025983,0.10416666666666666,0.029629629629629634,0.021505376344086023,0.05714285714285715,0.006535947712418301,0.025974025974025976,0.10416666666666667,0.02962962962962963,0.04157656749568514,Yangon,Kungyangon,NA,NA,0.037837825238855656
MMR013030,0,3,2,3,0,0,6,0.01592426608927669,0,0.03896103896103897,0,0.011111111111111112,0.03225806451612904,0.05714285714285715,0,0.03896103896103896,0,0.011111111111111112,0.012518037518037518,Yangon,Dala,7,271760,0.02302436940711244
MMR013031,1,0,1,1,0,0,0,0.006357253434920558,0.006535947712418299,0,0,0,0.010752688172043019,0.028571428571428574,0.006535947712418301,0,0,0,0.0016339869281045752,Yangon,Seikgyikanaungto,NA,NA,0.008890555286733005
